Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",Fertility rate - Sex: all - Age: all - Variant: estimates,Population (historical),World regions according to OWID,time,time,time,time
Argentina,ARG,2022,52.079,1.482,45407904,South America,2022,2023,2022,2022
Australia,AUS,2022,62.326,1.638,26200987,Oceania,2022,2023,2022,2022
Austria,AUT,2022,56.552,1.41,9064679,Europe,2022,2023,2022,2022
Azerbaijan,AZE,2022,61.9,1.687,10295307,Asia,2022,2023,2022,2022
Bangladesh,BGD,2022,24.406,2.179,169384890,Asia,2022,2023,2022,2022
Belarus,BLR,2022,65.789,1.326,9173241,Europe,2022,2023,2022,2022
Belgium,BEL,2022,50.802,1.547,11641813,Europe,2022,2023,2022,2022
Bhutan,BTN,2022,53.484,1.478,780920,Asia,2022,2023,2022,2022
Bolivia,BOL,2022,71.843,2.584,12077155,South America,2022,2023,2022,2022
Bosnia and Herzegovina,BIH,2022,41.113,1.481,3204805,Europe,2022,2023,2022,2022
Botswana,BWA,2022,60.057,2.785,2439895,Africa,2022,2023,2022,2022
Brazil,BRA,2022,53.747,1.629,210306411,South America,2022,2023,2022,2022
Brunei,BRN,2022,52.886,1.764,455374,Asia,2022,2023,2022,2022
Bulgaria,BGR,2022,50.571,1.767,6825863,Europe,2022,2023,2022,2022
Canada,CAN,2022,61.475,1.366,38821260,North America,2022,2023,2022,2022
Chile,CHL,2022,50.125,1.255,19553032,South America,2022,2023,2022,2022
Colombia,COL,2022,51.105,1.663,51737944,South America,2022,2023,2022,2022
Costa Rica,CRI,2022,50.079,1.335,5081765,North America,2022,2023,2022,2022
Croatia,HRV,2022,46.848,1.53,3907031,Europe,2022,2023,2022,2022
Cyprus,CYP,2022,59.632,1.393,1331376,Europe,2022,2023,2022,2022
Czechia,CZE,2022,52.161,1.618,10673216,Europe,2022,2023,2022,2022
Denmark,DNK,2022,59.42,1.559,5902898,Europe,2022,2023,2022,2022
Dominican Republic,DOM,2022,50.865,2.267,11230734,North America,2022,2023,2022,2022
Ecuador,ECU,2022,53.567,1.861,17823900,South America,2022,2023,2022,2022
El Salvador,SLV,2022,46.376,1.785,6280316,North America,2022,2023,2022,2022
Estonia,EST,2022,60.632,1.41,1350092,Europe,2022,2023,2022,2022
Finland,FIN,2022,58.169,1.318,5569299,Europe,2022,2023,2022,2022
France,FRA,2022,52.52,1.76,66277412,Europe,2022,2023,2022,2022
Germany,DEU,2022,56.127,1.46,84086228,Europe,2022,2023,2022,2022
Greece,GRC,2022,44.674,1.308,10412481,Europe,2022,2023,2022,2022
Guatemala,GTM,2022,41.526,2.343,17847877,North America,2022,2023,2022,2022
High-income countries,,2022,54.2179,1.495,1252308750,,2022,2022,2022,2022
Honduras,HND,2022,49.626,2.522,10463881,North America,2022,2023,2022,2022
Hong Kong,HKG,2022,52.911,0.708,7465914,Asia,2022,2023,2022,2022
Hungary,HUN,2022,53.681,1.55,9684306,Europe,2022,2023,2022,2022
Iceland,ISL,2022,70.698,1.589,380368,Europe,2022,2023,2022,2022
India,IND,2022,28.26,1.994,1425423212,Asia,2022,2023,2022,2022
Indonesia,IDN,2022,52.499,2.149,278830529,Asia,2022,2023,2022,2022
Iran,IRN,2022,13.577,1.704,89524247,Asia,2022,2023,2022,2022
Ireland,IRL,2022,59.396,1.594,5110013,Europe,2022,2023,2022,2022
Israel,ISR,2022,61.148,2.936,9103144,Asia,2022,2023,2022,2022
Italy,ITA,2022,40.691,1.24,59619106,Europe,2022,2023,2022,2022
Japan,JPN,2022,54.2,1.256,124997586,Asia,2022,2023,2022,2022
Kazakhstan,KAZ,2022,63.3,3.05,20034612,Asia,2022,2023,2022,2022
Kosovo,OWID_KOS,2022,19.372,1.555,1717950,Europe,2022,2023,2022,2022
Laos,LAO,2022,61.467,2.455,7559007,Asia,2022,2023,2022,2022
Latvia,LVA,2022,55.614,1.47,1881058,Europe,2022,2023,2022,2022
Lithuania,LTU,2022,58.835,1.27,2816922,Europe,2022,2023,2022,2022
Lower-middle-income countries,,2022,34.816643,2.571,3216231214,,2022,2022,2022,2022
Luxembourg,LUX,2022,57.987,1.39,653316,Europe,2022,2023,2022,2022
Malaysia,MYS,2022,55.79,1.55,34695494,Asia,2022,2023,2022,2022
Malta,MLT,2022,63.079,1.101,528194,Europe,2022,2023,2022,2022
Mauritius,MUS,2022,42.209,1.27,1276134,Africa,2022,2023,2022,2022
Mexico,MEX,2022,45.025,1.94,128613113,North America,2022,2023,2022,2022
Moldova,MDA,2022,71.504,1.694,3039987,Europe,2022,2023,2022,2022
Mongolia,MNG,2022,53.484,2.746,3386015,Asia,2022,2023,2022,2022
Morocco,MAR,2022,19.8,2.256,37329069,Africa,2022,2023,2022,2022
Netherlands,NLD,2022,63.577,1.514,17904422,Europe,2022,2023,2022,2022
New Zealand,NZL,2022,66.895,1.665,5131733,Oceania,2022,2023,2022,2022
Nigeria,NGA,2022,77.038,4.552,223150906,Africa,2022,2023,2022,2022
North Macedonia,MKD,2022,42.217,1.588,1840236,Europe,2022,2023,2022,2022
Norway,NOR,2022,62.53,1.415,5456795,Europe,2022,2023,2022,2022
Oman,OMN,2022,39.93,2.449,4730227,Asia,2022,2023,2022,2022
Palestine,PSE,2022,18.577,3.375,5305274,Asia,2022,2023,2022,2022
