Entity,Code,Year,Labor force participation rate,Fertility Rate,Population (historical),World regions according to OWID,Women Weekly Working Hours,Years of Education
Argentina,ARG,2022,52.079,1.482,45407904,South America,30.3,10.04
Australia,AUS,2022,62.326,1.638,26200987,Oceania,28.5,13.03
Austria,AUT,2022,56.552,1.41,9064679,Europe,25.0,10.22
Bangladesh,BGD,2022,24.406,2.179,169384890,Asia,36.9,7.88
Belgium,BEL,2022,50.802,1.547,11641813,Europe,27.3,11.72
Bolivia,BOL,2022,71.843,2.584,12077155,South America,34.8,8.72
Botswana,BWA,2022,60.057,2.785,2439895,Africa,41.0,10.55
Brazil,BRA,2022,53.747,1.629,210306411,South America,35.4,8.31
Brunei,BRN,2022,52.886,1.764,455374,Asia,45.3,9.25
Bulgaria,BGR,2022,50.571,1.767,6825863,Europe,37.5,10.83
Canada,CAN,2022,61.475,1.366,38821260,North America,29.1,13.18
Chile,CHL,2022,50.125,1.255,19553032,South America,34.1,10.9
Colombia,COL,2022,51.105,1.663,51737944,South America,39.0,10.33
Costa Rica,CRI,2022,50.079,1.335,5081765,North America,36.3,9.28
Croatia,HRV,2022,46.848,1.53,3907031,Europe,32.7,12.11
Cyprus,CYP,2022,59.632,1.393,1331376,Europe,32.6,12.69
Denmark,DNK,2022,59.42,1.559,5902898,Europe,26.5,11.75
Dominican Republic,DOM,2022,50.865,2.267,11230734,North America,35.8,9.52
Ecuador,ECU,2022,53.567,1.861,17823900,South America,33.0,9.18
El Salvador,SLV,2022,46.376,1.785,6280316,North America,41.4,8.09
Estonia,EST,2022,60.632,1.41,1350092,Europe,30.0,12.55
Finland,FIN,2022,58.169,1.318,5569299,Europe,26.4,11.34
France,FRA,2022,52.52,1.76,66277412,Europe,27.9,11.93
Germany,DEU,2022,56.127,1.46,84086228,Europe,25.4,12.96
Greece,GRC,2022,44.674,1.308,10412481,Europe,34.6,12.03
Guatemala,GTM,2022,41.526,2.343,17847877,North America,36.8,6.06
Honduras,HND,2022,49.626,2.522,10463881,North America,37.3,7.84
Hong Kong,HKG,2022,52.911,0.708,7465914,Asia,41.3,12.71
Hungary,HUN,2022,53.681,1.55,9684306,Europe,34.8,11.98
Iceland,ISL,2022,70.698,1.589,380368,Europe,28.6,13.69
India,IND,2022,28.26,1.994,1425423212,Asia,36.0,7.15
