Entity,Code,Year,Labor force participation rate,Fertility Rate,Population (historical),World regions according to OWID,Women Weekly Working Hours
Argentina,ARG,2022,52.079,1.482,45407904,South America,30.3
Australia,AUS,2022,62.326,1.638,26200987,Oceania,28.5
Austria,AUT,2022,56.552,1.41,9064679,Europe,25.0
Azerbaijan,AZE,2022,61.9,1.687,10295307,Asia,33.2
Bangladesh,BGD,2022,24.406,2.179,169384890,Asia,36.9
Belarus,BLR,2022,65.789,1.326,9173241,Europe,33.3
Belgium,BEL,2022,50.802,1.547,11641813,Europe,27.3
Bhutan,BTN,2022,53.484,1.478,780920,Asia,53.5
Bolivia,BOL,2022,71.843,2.584,12077155,South America,34.8
Bosnia and Herzegovina,BIH,2022,41.113,1.481,3204805,Europe,40.1
Botswana,BWA,2022,60.057,2.785,2439895,Africa,41.0
Brazil,BRA,2022,53.747,1.629,210306411,South America,35.4
Brunei,BRN,2022,52.886,1.764,455374,Asia,45.3
Bulgaria,BGR,2022,50.571,1.767,6825863,Europe,37.5
Canada,CAN,2022,61.475,1.366,38821260,North America,29.1
Chile,CHL,2022,50.125,1.255,19553032,South America,34.1
Colombia,COL,2022,51.105,1.663,51737944,South America,39.0
Costa Rica,CRI,2022,50.079,1.335,5081765,North America,36.3
Croatia,HRV,2022,46.848,1.53,3907031,Europe,32.7
Cyprus,CYP,2022,59.632,1.393,1331376,Europe,32.6
Denmark,DNK,2022,59.42,1.559,5902898,Europe,26.5
Dominican Republic,DOM,2022,50.865,2.267,11230734,North America,35.8
Ecuador,ECU,2022,53.567,1.861,17823900,South America,33.0
El Salvador,SLV,2022,46.376,1.785,6280316,North America,41.4
Estonia,EST,2022,60.632,1.41,1350092,Europe,30.0
Finland,FIN,2022,58.169,1.318,5569299,Europe,26.4
France,FRA,2022,52.52,1.76,66277412,Europe,27.9
Germany,DEU,2022,56.127,1.46,84086228,Europe,25.4
Greece,GRC,2022,44.674,1.308,10412481,Europe,34.6
Guatemala,GTM,2022,41.526,2.343,17847877,North America,36.8
Honduras,HND,2022,49.626,2.522,10463881,North America,37.3
Hong Kong,HKG,2022,52.911,0.708,7465914,Asia,41.3
Hungary,HUN,2022,53.681,1.55,9684306,Europe,34.8
Iceland,ISL,2022,70.698,1.589,380368,Europe,28.6
India,IND,2022,28.26,1.994,1425423212,Asia,36.0
Indonesia,IDN,2022,52.499,2.149,278830529,Asia,34.8
Iran,IRN,2022,13.577,1.704,89524247,Asia,31.8
Ireland,IRL,2022,59.396,1.594,5110013,Europe,26.1
Israel,ISR,2022,61.148,2.936,9103144,Asia,31.4
Italy,ITA,2022,40.691,1.24,59619106,Europe,29.7
Japan,JPN,2022,54.2,1.256,124997586,Asia,31.1
Kazakhstan,KAZ,2022,63.3,3.05,20034612,Asia,36.4
Laos,LAO,2022,61.467,2.455,7559007,Asia,40.9
Latvia,LVA,2022,55.614,1.47,1881058,Europe,31.6
Lithuania,LTU,2022,58.835,1.27,2816922,Europe,32.6
Luxembourg,LUX,2022,57.987,1.39,653316,Europe,27.3
Malaysia,MYS,2022,55.79,1.55,34695494,Asia,43.3
Malta,MLT,2022,63.079,1.101,528194,Europe,31.1
Mauritius,MUS,2022,42.209,1.27,1276134,Africa,37.9
Mexico,MEX,2022,45.025,1.94,128613113,North America,38.0
Moldova,MDA,2022,71.504,1.694,3039987,Europe,37.1
