Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Combined - average years of education for 15-64 years female youth and adults,Population (historical),World regions according to OWID,time,time
Afghanistan,AFG,2020,5.145,4.81,39068978,Asia,2020,2023
Albania,ALB,2020,1.371,10.15,2871951,Europe,2020,2023
Algeria,DZA,2020,2.94,8.16,44042093,Africa,2020,2023
Argentina,ARG,2020,1.601,10.04,45191960,South America,2020,2023
Armenia,ARM,2020,1.619,10.71,2890894,Asia,2020,2023
Australia,AUS,2020,1.593,13.03,25743787,Oceania,2020,2023
Austria,AUT,2020,1.439,10.22,8921402,Europe,2020,2023
Bahrain,BHR,2020,1.86,8.41,1483081,Asia,2020,2023
Bangladesh,BGD,2020,2.175,7.88,166298024,Asia,2020,2023
Barbados,BRB,2020,1.708,10.13,281705,North America,2020,2023
Belgium,BEL,2020,1.575,11.72,11540103,Europe,2020,2023
Belize,BLZ,2020,2.04,10.76,390819,North America,2020,2023
Benin,BEN,2020,4.795,5.39,13070170,Africa,2020,2023
Bolivia,BOL,2020,2.651,8.72,11816300,South America,2020,2023
Botswana,BWA,2020,2.861,10.55,2365895,Africa,2020,2023
Brazil,BRA,2020,1.653,8.31,208660845,South America,2020,2023
Brunei,BRN,2020,1.796,9.25,447412,Asia,2020,2023
Bulgaria,BGR,2020,1.557,10.83,6933654,Europe,2020,2023
Burundi,BDI,2020,5.177,4.7,12617042,Africa,2020,2023
Cambodia,KHM,2020,2.699,5.2,16725482,Asia,2020,2023
Cameroon,CMR,2020,4.557,6.93,26210566,Africa,2020,2023
Canada,CAN,2020,1.413,13.18,38171901,North America,2020,2023
Central African Republic,CAF,2020,6.059,3.61,5026629,Africa,2020,2023
Chile,CHL,2020,1.307,10.9,19370619,South America,2020,2023
China,CHN,2020,1.236,8.73,1426106083,Asia,2020,2023
Colombia,COL,2020,1.694,10.33,50629997,South America,2020,2023
Congo,COG,2020,4.329,6.26,5752791,Africa,2020,2023
Costa Rica,CRI,2020,1.448,9.28,5034323,North America,2020,2023
Cote d'Ivoire,CIV,2020,4.461,4.98,28915452,Africa,2020,2023
Croatia,HRV,2020,1.484,12.11,3953957,Europe,2020,2023
Cuba,CUB,2020,1.489,11.63,11176349,North America,2020,2023
Cyprus,CYP,2020,1.361,12.69,1302250,Europe,2020,2023
Czechia,CZE,2020,1.763,12.92,10550130,Europe,2020,2023
Democratic Republic of Congo,COD,2020,6.206,4.01,95989999,Africa,2020,2023
Denmark,DNK,2020,1.678,11.75,5831530,Europe,2020,2023
Dominican Republic,DOM,2020,2.329,9.52,11008297,North America,2020,2023
Ecuador,ECU,2020,1.967,9.18,17546058,South America,2020,2023
Egypt,EGY,2020,2.85,7.62,109315119,Africa,2020,2023
El Salvador,SLV,2020,1.819,8.09,6234680,North America,2020,2023
Estonia,EST,2020,1.588,12.55,1329674,Europe,2020,2023
Eswatini,SWZ,2020,2.888,6.63,1192733,Africa,2020,2023
Fiji,FJI,2020,2.357,11.61,914970,Oceania,2020,2023
Finland,FIN,2020,1.374,11.34,5529617,Europe,2020,2023
France,FRA,2020,1.785,11.93,65905273,Europe,2020,2023
Gabon,GAB,2020,3.831,10.81,2322536,Africa,2020,2023
Gambia,GMB,2020,4.248,4.57,2515744,Africa,2020,2023
Germany,DEU,2020,1.531,12.96,83628711,Europe,2020,2023
Ghana,GHA,2020,3.541,7.9,31887801,Africa,2020,2023
Greece,GRC,2020,1.386,12.03,10699370,Europe,2020,2023
Guatemala,GTM,2020,2.47,6.06,17357331,North America,2020,2023
Guyana,GUY,2020,2.491,8.89,807487,South America,2020,2023
Haiti,HTI,2020,2.804,5.17,11243847,North America,2020,2023
