Year,World
2022,16.649
2021,16.942
2020,17.226
2019,17.817
2018,18.177
2017,18.699
2016,19.173
2015,19.113
2014,19.643
2013,19.728
2012,20.234
2011,20.119
2010,20.005
2009,20.163
2008,20.341
2007,20.404
2006,20.441
2005,20.611
2004,20.789
2003,20.958
2002,21.241
2001,21.551
2000,21.842
1999,22.071
1998,22.504
1997,22.945
1996,23.301
1995,23.624
1994,24.046
1993,24.412
1992,24.816
1991,25.466
1990,26.053
1989,26.478
1988,26.984
1987,27.462
1986,27.556
1985,27.441
1984,27.438
1983,27.679
1982,28.277
1981,28.071
1980,27.589
1979,27.535
1978,27.621
1977,27.893
1976,28.291
1975,29.115
1974,29.795
1973,30.655
1972,31.289
1971,31.760
1970,32.492
1969,32.748
1968,33.239
1967,33.125
1966,33.407
1965,34.474
1964,35.132
1963,36.275
1962,35.103
1961,31.165
1960,31.909
